,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
perk_liquid_movement,Liquid movement,Движение в жидкости,Movimento liquido,Movimiento liquido,Flussige Bewegungen,Mouvement liquide,液?移?,液?移動,유체 이동,,,,
perkdesc_liquid_movement,Liquids don't affect your movement at all.,Жидкости никак не влияют на ваше перемещение.,Os liquidos nao afetam o seu movimento.,Los liquidos no afectan a tu movimiento.,Flussigkeiten beeinflussen deine Bewegungen nicht.,Les liquides n'affectent pas du tout vos deplacements.,液?完全无法影??的移?。,液?はあなたの移動に全く影響を?えない。,액체가 이동에 영향을 주지 않습니다.,,,,
perk_faster_swimming,Faster swimming,Быстрое плавание,Nado mais rapido,Natacion veloz,Schnelleres Schwimmen,Nage acceleree,更快游泳,高速水泳,빠른 수영,,,,
perkdesc_faster_swimming,You swim faster.,Вы плаваете быстрее.,Voce nada mais rapido.,Nadas mas rapido.,Du schwimmst schneller.,Vous nagez plus vite.,?的游泳速度?快了。,水泳速度が速くなる。,더 빨리 수영합니다.,,,,
perk_extra_shop_item,Extra shop item,Дополнительный товар,Item extra de loja,Objeto adicional en tienda,Zusatzlicher Ladengegenstand,Objet de boutique supplementaire,?外商店物品,追加ショップアイテム,추가 상점 아이템,,,,
perkdesc_extra_shop_item,Additional item in every shop you haven't visited.,Дополнительный товар в каждом не посещенном вами магазине.,Adiciona um item em cada loja que voce nao visitou.,Un objeto adicional en cada tienda que no hayas visitado.,"Zusatzlicher Gegenstand in jedem Laden, den du noch nicht besucht hast.",Un objet en plus dans chaque boutique que vous n'avez pas visitee.,在??未造?的每?商店中追加一件?外物品。,まだ行った事のないショップ全てに追加アイテムが加わる。,방문하지 않은 모든 상점에 추가 아이템이 있습니다.,,,,
perk_poison_burn,Burning poison,Горящий яд,Veneno flamejante,Veneno ardiente,Brennendes Gift,Poison brulant,燃?之毒,燃?ポイズン,불타는 독,,,,
perkdesc_poison_burn,Your projectiles have a chance to ignite poisoned enemies.,У снарядов появляется вероятность поджечь отравленных врагов.,Seus projeteis tem a chance de incendiar inimigos envenenados.,Tus proyectiles tienen una probabilidad de prender a enemigos envenenados.,"Es besteht die Chance, dass deine Projektile vergiftete Feinde in Brand setzen.",Vos projectiles ont une chance d'enflammer des ennemis empoisonnes.,?的投射物一定?率点燃中毒的?人。,あなたの放射物が毒に侵された敵に点火する可能性がある。,발사체가 적에게 일정 확률로 불을 붙입니다.,,,,
perk_low_gravity,Low gravity,Низкая гравитация,Gravidade baixa,Gravedad baja,Geringe Schwerkraft,Faible gravite,低重力,低重力,저중력,,,,
perkdesc_low_gravity,Your movement is floatier and you jump and fly higher.,"Вы двигаетесь плавнее, прыгаете и летите выше.",Seu movimento fica mais flutuante e voce pula e voa mais alto.,"La gravedad te afecta menos, saltas y vuelas mas alto.",Deine Bewegungen sind flussiger und du springst und fliegst hoher.,"Vos mouvements sont plus flottants, et vous sautez et volez plus haut.",?的移??浮，?的跳?更高。,あなたの動きがフワフワし、更に高くジャンプをしたり飛んだりできるようになる。,이동 시 좀 더 뜨게 되고 더 높이 점프하거나 날 수 있습니다.,,,,
perk_destruction_enhancement,Destruction enhancement,Усиленное разрушение,Destruicao aprimorada,Destruccion mejorada,Zerstorungsverbesserung,Destruction perfectionnee,破?增强,??破?,파괴 강화,,,,
perkdesc_destruction_enchancement,You can destroy the environment better.,Вы более эффективно можете разрушать окружение.,Faz voce destruir mais o ambiente.,Puedes destruir el entorno de manera mas efectiva.,Du kannst die Umgebung besser zerstoren.,Vous pouvez mieux detruire l'environnement.,???境能造成更多破?。,更に良く環境を破?できるようになる。,주변 환경을 더 쉽게 파괴할 수 있습니다.,,,,
perk_damaging_aura,Damaging aura,Повреждающая аура,Aura perigosa,Aura de dano,Schadensaura,Aura de degats,?害光?,ダメ?ジオ?ラ,피해 오오라,,,,
perkdesc_damaging_aura,Your spells damage nearby enemies even if they don't hit them.,"Заклинания наносят урон врагам поблизости, даже если не попадают в них.",Seus feiticos causam dano a inimigos proximos mesmo se nao acerta-los.,Tus hechizos danan a los enemigos cercanos aunque no les impacten.,"Deine Zauber fugen nahen Feinden Schaden zu, selbst wenn du sie nicht triffst.",Vos sorts infligent des degats aux ennemis a proximite meme s'ils ne les touchent pas.,?使?有命中，?的法?也能?附近?人造成?害。,あなたの呪文が?たらなくても、周?の敵にダメ?ジが?えられる。,주문이 주변 적에게 명중하지 않아도 피해를 줍니다.,,,,
perk_thunder_kick,Thunder kick,Громовой удар,Chute do trovao,Patada trueno,Donnertritt,Pied foudroyant,雷霆??,雷キック,천둥 발차기,,,,
perkdesc_thunder_kick,"Your kicks instantly kill most foes, and push objects more.",Ваши удары мгновенно убивают большинство врагов и сильнее толкают предметы.,Seu chute mata na hora a maioria dos inimigos e empurra objetos com mais forca.,"Tus patadas matan al instante a la mayoria de enemigos, y empujan los objetos con mas fuerza.","Deine Tritte toten sofort die meisten Feinde, und verschieben Objekte weiter.",Vos coups de pied tuent instantanement la plupart des ennemis et repoussent mieux les objets.,?的??能?瞬??大多??人，?且能?物?推得更?。,あなたの蹴りがほとんどの敵を瞬時に倒し、オブジェクトを更に?く押す。,"발차기를 하면 대부분의 적을 즉사시키며, 물체를 더 많이 밀어냅니다.",,,,
perk_vision,Better vision,Лучшее зрение,Visao melhorada,Vision mejorada,Bessere Sicht,Vision amelioree,更好?野,視力改善,더 좋은 시야,,,,
perkdesc_vision,You can see a larger area through the fog-of-war.,Вы можете видеть большую область через туман войны.,Voce consegue enxergar uma area maior no nevoeiro de guerra.,Puedes ver una zona mas amplia a traves de la niebla de guerra.,Du kannst ein großeres Gebiet durch den Kriegsnebel sehen,Vous pouvez voir sur une plus grande zone a travers le brouillard de guerre.,?可透???迷?看到更??的?域。,フォグ?オブ?ウォ?を通して大きなエリアを見ることができる。,전장의 안개 너머 더 넓은 지역을 볼 수 있게 됩니다.,,,,
perk_telepathic_vision,Telepathic presence,Телепатическое присутствие,Presenca telepatica,Presencia telepatica,Telepathische Prasenz,Presence telepathique,心?存在,テレパシ?な存在,텔레파시 인식,,,,
perkdesc_telepathic_vision,"Fog-of-war is no more, but enemies always know where you are.","Тумана войны больше нет, но враги всегда знают, где вы.","Diga adeus ao nevoeiro de guerra, porem os inimigos sempre saberao onde voce esta.","La niebla de guerra se elimina, pero los enemigos siempre saben donde estas.","Der Kriegsnebel ist weg, aber Feinde wissen immer wo du bist.","Le brouillard de guerre n'est plus, mais les ennemis savent toujours ou vous etes.",??迷?不?存在，但?人始?知道?的位置。,フォグ?オブ?ウォ?はないが、敵が常にあなたの居場所を知るようになる。,"전장의 안개는 이제 없지만, 적도 내 위치를 항상 알게 됩니다.",,,,
perk_no_more_knockback,No More Knockback,Без отбрасываний,Chega de empurroes,Sin retroceso,Kein Ruckschlag mehr,Fin des projections,不再?退,ノックバック無し,넉백 제거,,,,
perkdesc_no_more_knockback,Enemies can't knock you back.,Враги не могут отбросить вас.,Os inimigos nao poderao empurrar voce.,Los enemigos no pueden empujarte.,Feinde konnen dich nicht zuruckschlagen.,Les ennemis ne peuvent pas vous projeter.,?人无法???退。,敵があなたをノックバックできなくなる。,적에게 넉백당하지 않습니다.,,,,
perk_knockback_control,Controllable Knockback,Контролируемое отбрасывание,Empurrao controlavel,Retroceso controlado,Kontrollierter Ruckschlag,Projection controlee,可控?退。,操作可能ノックバック,넉백 제어,,,,
perkdesc_knockback_control,You can steer while being knocked back.,"Если вас отбросили, вы не теряете контроль.",Voce consegue se direcionar ao receber empurrao.,Puedes controlar el movimiento cuando se te empuja.,Steuern ist wahrend des Ruckschlags moglich.,Vous pouvez vous orienter quand vous etes projete(e).,在被?退?程中仍可控制方向。,ノックバックされている時に操作ができる。,넉백당할 때 방향을 조종할 수 있습니다.,,,,
perk_roll_again,Roll again,Новая раздача,Jogar os dados de novo,Tira de nuevo,Nochmal wurfeln,Relancer,再次抽?,もう一回,다시 굴리기,,,,
perkdesc_roll_again,Get a new set of perks to choose from.,Вы получаете новый набор бонусов на выбор.,Receba um novo conjunto de vantagens para escolher.,Recibe un nuevo conjunto de ventajas para elegir.,"Erhalte eine neue Auswahl an Boni, aus denen du wahlen kannst.",Obtenez un nouvel ensemble d'avantages a choisir.,?得新的一?特性以供??。,新しい特典セットを獲得する。,선택할 능력들을 새로 받습니다.,,,,
perk_reveal_secrets,Reveal secrets,Раскрытые секреты,Revelar segredos,Secretos revelados,Geheimnisse luften,Revelation de secrets,揭?秘密,秘密暴露,비밀 밝히기,,,,
perkdesc_reveal_secrets,"Chests, hearts and other items shine through darkness.","Сундуки, сердца и другие предметы сияют сквозь тьму.","Baus, coracoes e outros itens brilham na escuridao.","Los cofres, corazones y otros objetos brillan en la oscuridad.","Truhen, Herzen und anderen Gegenstande leuchten in der Dunkelheit.","Les coffres, les cœurs et les autres objets brillent dans le noir.",?箱、心?其他物品?在黑暗中???亮。,箱、ハ?トやその他のアイテムが闇の中で光る。,"상자, 하트 및 기타 아이템이 어둠 속에서 빛납니다.",,,,
perk_potion_drop,Flask drop,Выпадение бутылей,Queda de frascos,Suelta el frasco,Flasche fallenlassen,Lache de flacon,??掉落,フラスコ落下,플라스크 드롭,,,,
perkdesc_potion_drop,Enemies have a chance of dropping a random flask upon death.,У врагов есть вероятность после смерти дать случайную бутыль.,Os inimigos tem a chance de deixar cair um frasco aleatorio ao morrerem.,Los enemigos tienen una probabilidad de dejar caer un frasco al morir.,"Es besteht die Chance, dass Feinde nach ihrem Tod eine zufallige Flasche fallenlassen.",Les ennemis ont des chances de lacher un flacon aleatoire a leur mort.,?人死亡?一定?率掉落一??机??。,敵が死亡時に、ランダムなフラスコを落とす可能性がある。,적이 사망 시 일정 확률로 무작위 플라스크를 떨어뜨립니다.,,,,
perk_mystery_egg,Mystery egg,Тайное яйцо,Ovo misterioso,Huevo misterioso,Mysterioses Ei,Œuf mysterieux,神秘的蛋,謎の卵,의문의 달걀,,,,
perkdesc_mystery_egg,Something may hatch from it.,Из него может что-то вылупиться.,"Ao chocar, pode sair alguma coisa.",Puede que eclosione.,Etwas konnte daraus schlupfen.,Quelque chose pourrait eclore.,可能能孵出什?玩意。,何かが孵化するかもしれない。,뭔가가 태어날지도 모릅니다.,,,,
perk_gold_no_disappear_while_seen,Golden I,Золотое ≪я≫,Ouro I,El dorado,Goldenes Ich,De l'or dans les yeux,金色的我,?金I,골드 회원,,,,
perkdesc_gold_no_disappear_while_seen,Gold doesn't disappear as long as it can be seen.,"Золото не исчезает, пока его можно видеть.",O ouro nao desaparece contanto que esteja em vista.,El oro no desaparece siempre que permanezca a la vista.,"Gold verschwindet nicht, solange es sichtbar ist.",L'or ne disparait pas tant qu'il est visible.,在?野中的?金不?消失。,目視できる限り、ゴ?ルドが消えなくなる。,화면에 보이는 골드가 시간이 지나도 사라지지 않습니다.,,,,
perk_mana_discount,Mana discount,Скидка на ману,Desconto de mana,Descuento de mana,Mana-Rabatt,Promo de mana,法力折?,マナ割引,마나 할인,,,,
perkdesc_mana_discount,All spells cost 50% less mana.,На заклинания тратится на 50% меньше маны.,Todos os feiticos custam 50% menos mana.,Todos los hechizos cuestan un 50 % menos de mana.,All Zauber kosten 50 % weniger Mana.,Tous les sorts coutent 50 % de mana en moins.,所有法?消耗的法力?半。,全ての呪文の値段がマイナス50%マナになる。,모든 주문의 마나 비용이 50% 감소합니다.,,,,
perk_juggernaut,Juggernaut spells,Заклинания неумолимой силы,Feiticos de jaganata,Hechizos titanicos,Juggernaut-Zauber,Sorts destructeurs,重型法?,?倒的な呪文,저거너트 주문,,,,
perkdesc_juggernaut,"All your projectiles deal 30% more damage, but are 30% slower.","Все снаряды наносят на 30% больше урона, но движутся на 30% медленнее.","Todos os seus projeteis causam 30% mais dano, mas ficam 30% mais lentos.","Todos tus hechizos hacen un 30 % mas de dano, pero son un 30 % mas lentos.","Alle deine Projektile fugen 30 % mehr Schaden zu, sind aber 30 % langsamer.","Tous vos projectiles infligent 30 % de degats en plus, mais sont 30 % plus lents.",所有投射物?外造成 30% ?害，但速度降低 30%。,全ての放射物が30%?のダメ?ジを?えるが、速度は30%落ちる。,모든 발사체의 피해량이 30% 증가하는 대신 30% 느려집니다.,,,,
perk_big_potions,Big flasks,Большие бутыли,Frascos grandes,Frascos grandes,Große Flaschen,Gros flacons,大???,大きなフラスコ,대형 플라스크,,,,
perkdesc_big_potions,Flasks you find contain double the liquid.,В найденных колбах в два раза больше жидкости.,Os frascos encontrados contem o dobro de liquido.,Los frascos que encuentres contienen el doble de liquido.,"Flaschen, die du findest, enthalten die doppelte Menge an Flussigkeit.",Les flacons que vous trouvez contiennent le double de liquide.,??到的??中，?容物加倍。,?見するフラスコに2倍の液?が含まれる。,발견된 플라스크에 든 액체의 양이 2배가 됩니다.,,,,
perk_extra_charges,Extra charges,Дополнительные заряды,Cargas extras,Cargas adicionales,Zusatzliche Ladungen,Charges supplementaires,追加充能,追加チャ?ジ,추가 충전,,,,
perkdesc_extra_charges,Spells with limited uses have their maximum uses doubled.,У заклинаний с ограничением на использование лимит удваивается.,Feiticos com usos limitados tem seus limites de usos dobrados.,Los hechizos de usos limitados doblan su numero de usos maximos.,Verdoppelt die maximale Anzahl an Nutzungen von Zaubern mit limitierter Nutzung.,Les sorts avec des utilisations limitees voient leur nombre d'utilisations maximales doubler.,使用次?有限的法?，其最大使用次?加倍。,使用回?に限りのある呪文の最大使用?が2倍になる。,사용 횟수에 제한이 있는 주문의 한도가 2배로 증가합니다.,,,,
perk_fast_projectiles,Fast projectiles,Быстрые снаряды,Projeteis rapidos,Proyectiles rapidos,Schnelle Projektile,Projectiles rapides,快速投射物,高速放射物,빠른 발사체,,,,
perkdesc_fast_projectiles,All projectiles fly at double speed.,Все снаряды летят с двойной скоростью.,Todos os projeteis voam duas vezes mais rapido.,Todos los proyectiles viajan el doble de rapido.,Alle Projektile fliegen mit doppelter Geschwindigkeit.,Tous les projectiles volent deux fois plus vite.,所有投射物?行速度加倍。,全ての放射物が2倍の速度で飛ぶ。,모든 발사체가 2배 속도로 날아갑니다.,,,,
perk_deadly_environment,Deadly environment,Смертельное окружение,Ambiente mortal,Entorno mortal,Todliche Umgebung,Environnement mortel,致命?境,凶?な環境,치명적인 환경,,,,
perkdesc_deadly_environment,"Enemies take increased damage from materials (fire, poison...)","Враги получают повышенный урон от материалов (огонь, яд и т. д.)","Os inimigos recebem mais dano de materiais (fogo, veneno etc.).","Los enemigos reciben mas dano de los materiales (fuego, veneno...)","Feinde erhalten erhohten Schaden durch Substanzen (Feuer, Gift …)","Les ennemis subissent plus de degats des materiaux (feu, poison...).",?人?因材料（火焰、毒素...）受到更大的?害。,敵が素材から?加したダメ?ジを受ける(火、毒…),"적이 물질(불, 독...)로부터 받는 피해가 증가합니다.",,,,
perk_cursed_power,Cursed power,Проклятая сила,Poder amaldicoado,Maldicion de poder,Verfluchte Kraft,Pouvoir maudit,??之力,呪われたパワ?,저주받은 힘,,,,
perkdesc_cursed_power,All your wands gain extra damage but become uncustomizable.,"Урон жезлов больше, но их нельзя настраивать.","Todas as varinhas ganham dano extra, mas fica impossivel personaliza-las.","Todas tus varitas ganan dano adicional, pero no pueden personalizarse.","Alle deine Zauberstabe erhalten erhohten Schaden, aber sind nicht mehr individualisierbar.",Toutes vos baguettes gagnent des degats supplementaires mais ne peuvent plus etre personnalisees.,?的所有魔杖?害提升，但不可?行定制。,あなたの杖全てが追加ダメ?ジを獲得するが、カスタマイズができなくなる。,모든 완드가 추가 피해량을 얻지만 편집할 수 없게 됩니다.,,,,
perk_randomize_spells,Randomize spells,Случайные заклинания,Feiticos aleatorios,Hechizos aleatorios,Zufallige Zauber,Sorts aleatoires,?机法?,呪文のランダム化,무작위 주문,,,,
perkdesc_randomize_spells,All spells in your inventory are replaced by random new ones.,Все заклинания в инвентаре заменяются случайными.,Todos os feiticos no inventario serao substituidos por novos aleatorios.,Todos los hechizos de tu inventario se sustituyen por otros aleatorios.,Alle Zauber in deinem Inventar werden durch zufallige neue ersetzt.,Tous les sorts de votre inventaire sont remplaces par de nouveaux sorts aleatoires.,?物品?中的所有法??由?机性法?替代。,所持品にある全ての呪文が、ランダムな新しい呪文と入れ替えられる。,인벤토리의 모든 주문이 무작위 주문으로 교체됩니다.,,,,
perk_personal_raincloud,Personal raincloud,Личное дождевое облако,Nuvem de chuva pessoal,Nube personal,Personliche Regenwolke,Nuage de pluie personnel,??雨云,パ?ソナルな雨雲,개인 비구름,,,,
perkdesc_personal_raincloud,"Gathers water when you stand in a pool, releases it if you shoot at it.","Gathers water when you stand in a pool, releases it if you shoot at it.","Gathers water when you stand in a pool, releases it if you shoot at it.",Recoge agua cuando estas sobre un charco y la libera si le disparas.,"Sammelt, wenn du in einer Lache stehst, Wasser, das abregnet, sobald du darauf schießt.","Gathers water when you stand in a pool, releases it if you shoot at it.","Gathers water when you stand in a pool, releases it if you shoot at it.",プ?ルに立っていると水を集め、それに向かって?つと放出する。,"웅덩이에 있을 때 물을 채집하고, 발사할 때 방출합니다.",,,,
perk_helper_orb,Helper orb,Шар-помощник,Orbe ajudante,Orbe de apoyo,Hilfskugel,Orbe d'aide,助手魔球,ヘルパ?オ?ブ,도우미 오브,,,,
perkdesc_helper_orb,An orb that flies nearby and attacks your enemies.,"Сфера, которая летает рядом и атакует врагов.",Um orbe que voa nas proximidades e ataca os inimigos.,Un orbe que vuela cerca de ti y ataca a los enemigos.,"Eine Kugel, die in der Nahe fliegt und Feinde angreift.",Un orbe qui vole a proximite et attaque vos ennemis.,在附近?行的球?，攻??的?人。,周?を飛んでいるオ?ブで、あなたの敵を攻?する。,오브가 주변을 날며 적들을 공격합니다.,,,,
perk_extra_wand_slot,Extra wand slot,Ячейка для дополнительного жезла,Espaco extra de varinha,Ranura adicional de varita,Zusatzlicher Zauberstab-Slot,Emplacement de baguette supplementaire,?外魔杖槽,追加の杖スロット,추가 완드 슬롯,,,,
perkdesc_extra_wand_slot,You gain a slot for one extra wand.,Вы получаете ячейку для дополнительного жезла.,Voce ganha um espaco extra para varinha.,Ganas una ranura adicional para una varita.,Du erhaltst einen Slot fur einen zusatzlichen Zauberstab.,Vous gagnez un emplacement pour une baguette supplementaire.,?得一?槽，可?外持有一支魔杖。,追加の杖スロットを1つ獲得する。,추가 완드 슬롯을 획득합니다.,,,,
perk_extra_potion_slot,Extra item slot,Ячейка для дополнительного предмета,Espaco extra de item,Ranura adicional de objeto,Zusatzlicher Gegenstand-Slot,Emplacement d'objet supplementaire,?外物品槽,追加のアイテムスロット,추가 아이템 슬롯,,,,
perkdesc_extra_potion_slot,You gain a slot for one extra item.,Вы получаете ячейку для дополнительного предмета.,Voce ganha um espaco extra para item.,Ganas una ranura adicional para un objeto.,Du erhaltst einen Slot fur einen zusatzlichen Gegenstand.,Vous gagnez un emplacement pour un objet supplementaire.,?得一?槽，可?外持有一件物品。,追加のアイテムスロットを1つ獲得する。,추가 아이템 슬롯을 획득합니다.,,,,
perk_extra_action_storage,Extra spell storage,Дополнительное место для заклинаний,Armazenamento extra de feiticos,Almacenamiento de hechizos adicional,Zusatzlicher Zauberplatz,Rangement de sort supplementaire,?外法?空?,追加の呪文容量,추가 주문 저장소,,,,
perkdesc_extra_action_storage,You gain more room for spells,Вы получаете больше места для заклинаний.,Voce ganha mais espaco para feiticos.,Ganas mas espacio para hechizos,Du erhaltst mehr Platz fur Zauber,Vous obtenez plus de place pour les sorts.,?得?外的空?，可容?更多法?。,呪文のスペ?スが更に?える。,주문을 위한 추가 공간을 획득합니다.,,,,
perk_persuasion,Persuasion,Убеждение,Persuasao,Persuasion,Uberzeugung,Persuasion,?服,?得力,설득,,,,
perkdesc_persuasion,Enemies with low HP may start fighting for you.,Враги с низкими ОЗ могут начать сражаться за вас.,Inimigos com pouco PV podem comecar a lutar por voce.,Los enemigos con pocos PS pueden empezar a luchar para ti.,"Feinde mit geringen LP fangen manchmal an, fur dich zu kampfen.",Les ennemis avec peu de PV peuvent commencer a combattre pour vous.,生命??低的?人可能站在????斗。,低いHPの敵があなたの味方になって?い始める可能性がある。,체력이 낮은 적이 아군이 될 가능성이 생깁니다.,,,,
perk_permanent_flying,Permanent flying,Постоянный полет,Voo permanente,Vuelo permanente,Dauerhaftes Fliegen,Vol permanent,永久?行,永久飛行,영구 비행,,,,
perkdesc_permanent_flying,"You can fly permanently, but standing on the ground deals you damage over time.","Вы можете постоянно летать, но получаете урон, стоя на земле.","Voe permanentemente, porem ficar no chao faz voce perder saude com o tempo.","Puedes volar indefinidamente, pero tocar el suelo te hace dano constante.","Du kannst dauerhaft fliegen, aber wenn du auf dem Boden stehst, wird dir Schaden uber Zeit zugefugt.","Vous pouvez voler en permanence, mais poser les pieds sur le sol vous inflige des degats continus.",?可以永久?行，但站在地面?受到持??害。,永久に飛べるようになるが、地面に立っていると?過ダメ?ジを受ける。,"영구적으로 비행할 수 있지만, 지상에 있으면 시간에 따라 피해를 받습니다.",,,,
perk_melt,Melting corpses,Тающие трупы,Derretendo cadaveres,Cadaveres derretidos,Schmelzende Leichen,Corps fondants,融尸,溶ける死?,시체 녹이기,,,,
perkdesc_melt,The corpses of your enemies melt into slime.,Трупы врагов превращаются в слизь.,Os cadaveres dos inimigos derretem e viram gosma.,Los cadaveres de los enemigos se convierten en limo.,Die Leichen deiner Feinde schmelzen zu Schleim.,Les corps de vos ennemis fondent en gelee.,??人的尸??化?粘液。,敵の死?がスライムになる。,적의 시체를 녹여 슬라임으로 만듭니다.,,,,
perk_extra_perk,Extra perk,Дополнительный бонус,Vantagem extra,Ventaja adicional,Zusatzlicher Bonus,Avantage supplementaire,?外特性,追加特典,추가 능력,,,,
perkdesc_extra_perk,Every temple from now on spawns an additional perk to choose from.,Каждый храм отныне дает дополнительный бонус на выбор.,"De agora em diante, todo templo faz surgir uma vantagem adicional para escolha.","Desde ahora, cada templo genera una ventaja adicional para elegir.","Jeder Tempel verteilt ab jetzt einen zusatzlichen Bonus, den du auswahlen kannst",Chaque temple fait maintenant apparaitre un avantage supplementaire a choisir.,??在?始，每座神殿都??生一??外特性以供??。,これ以降の神殿が、追加の特典を出現させる。,모든 사원에서 이제 선택 가능한 능력이 하나 더 등장합니다.,,,,
perk_double_cast,Double cast,Двойное колдунство,Lancamento duplo,Lanzamiento doble,Doppelbeschworung,Double lancer,二重施放,ダブル詠唱,이중 시전,,,,
perkdesc_double_cast,All your wands cast one extra spell when used.,Все жезлы при использовании накладывают дополнительное заклинание.,Todas as suas varinhas lancam um feitico extra ao usa-las.,Todas tus varitas lanzan un hechizo adicional cuando se usan.,"Alle deine Zauberstabe wirken einen zusatzlichen Zauber, wenn sie verwendet werden.",Toutes vos baguettes lancent un sort supplementaire quand vous les utilisez.,?的所有魔杖在使用?都??外施放一?法?。,あなたの杖全てが、使用時に追加で1つの呪文をかける。,모든 완드가 사용 시 추가 주문을 시전합니다.,,,,
perk_ability_actions_materialized,Bombs materialized,Бомбы материализовались,Bombas materializadas,Bombas tangibles,Bomben materialisieren,Bombes materialisees,炸?物?化,爆?の具?化,폭탄 등장,,,,
perkdesc_ability_actions_materialized,Bomb-like spells can be placed in the ITEMS space in inventory and thrown without a wand,"Бомбоподобные заклинания можно помещать в раздел ПРЕДМЕТЫ инвентаря, а затем бросать их без жезла.",Feiticos do tipo bomba podem ser colocados no espaco ITENS do inventario e lancados sem uma varinha.,Los hechizos de bomba pueden colocarse en el inventario como OBJETOS y lanzarse sin varita.,Bomben-Zauber konnen unter dem Reiter GEGENSTANDE ins Inventar gelegt und ohne einen Zauberstab geworfen werden.,Des sorts de type bombe peuvent etre places dans l'espace OBJETS de l'inventaire et lances sans baguette.,?似炸?的法?可放置于物品?的物品空?，不需要魔杖便可以投?。,爆?のような呪文を所持品のアイテムスペ?スに置くことができ、杖無しで投げることができる。,폭탄과 같은 주문들을 아이템 칸에 놓고 완드 없이 던질 수 있게 됩니다.,,,,
mat_air,air,воздух,ar,aire,Luft,air,空?,空?,공기,,,,
mat_fire,fire,огонь,fogo,fuego,Feuer,feu,火焰,炎,불,,,,
mat_spark,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_green,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_blue,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_red,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_white,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_yellow,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_purple,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_player,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_teal,spark,искра,fagulha,chispa,Funken,etincelle,火花,スパ?ク,불꽃,,,,
mat_spark_electric,electric spark,электрическая искра,fagulha eletrica,chispa electrica,Elektrischer Funken,etincelle electrique,?火花,電?スパ?ク,전기 불꽃,,,,
mat_flame,fire,огонь,fogo,fuego,Feuer,feu,火焰,炎,불,,,,
mat_sand_static,ground,земля,chao,suelo,Boden,sol,地面,地面,바닥,,,,
mat_sand_static_rainforest,lush ground,плодородная земля,chao exuberante,suelo frondoso,uppiger Boden,sol verdoyant,?郁地面,豊かな地面,우거진 바닥,,,,
mat_bone_static,bone wall,костяная стена,parede de osso,muro de hueso,Knochenwand,mur d'os,骨?,骨の壁,뼈 벽,,,,
mat_rust_static,rusted metal,ржавый металл,metal enferrujado,metal oxidado,rostiges Metall,metal rouille,??金?,?びた金?,녹슨 금속,,,,
mat_sand_static_bright,granite ground,гранитная земля,chao de granito,suelo de granito,Granitboden,sol de granit,花?岩地面,花こう岩の地面,화강암 바닥,,,,
mat_sand_static_red,rusty ground,ржавая земля,chao enferrujado,suelo oxidado,rostiger Boden,sol rouille,??地面,赤茶けた地面,녹슨 바닥,,,,
mat_nest_static,nest,гнездо,ninho,nido,Nest,nid,巢穴,?,둥지,,,,
mat_bluefungi_static,blue fungus,синий гриб,fungo azul,hongo azul,blauer Pilz,champignon bleu,?色?菌,?いキノコ,파란 곰팡이,,,,
mat_cheese_static,cheese,сыр,queijo,queso,Kase,fromage,?酪,チ?ズ,치즈,,,,
mat_rock_static,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_rock_static_intro,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_water_static,Water,Вода,Agua,Agua,Wasser,Eau,水,水,물,,,,
mat_endslime_static,hell slime,адская слизь,gosma infernal,limo infernal,Hollenschleim,gelee infernale,地?粘液,地獄のスライム,지옥 슬라임,,,,
mat_slime_static,slime,слизь,gosma,limo,Schleim,gelee,粘液,スライム,슬라임,,,,
mat_rock_hard,dense rock,плотный камень,rocha densa,roca densa,dichter Fels,pierre dense,致密岩石,固い岩,고밀도 바위,,,,
mat_rock_static_noedge,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_rock_hard_border,extremely dense rock,очень плотный камень,rocha extremamente densa,roca extremadamente densa,extrem dichter Fels,pierre extremement dense,?度致密岩石,非常に固い岩,초고밀도 바위,,,,
mat_rock_magic_gate,magic gate,волшебные врата,portao magico,puerta magica,Magisches Tor,porte magique,魔法?,魔法の門,마법 문,,,,
mat_rock_magic_bottom,magic wall,волшебная стена,parede magica,muro magico,Magische Wand,mur magique,魔法?,魔法の壁,마법 벽,,,,
mat_rock_eroding,eroding rock,разрушающийся камень,rocha corroida,roca erosionada,erodierender Fels,pierre en erosion,侵?岩石,浸食岩,침식된 바위,,,,
